cohort,survey,spec,sex,rule,ref_censuses,n,wN,clamped_share,position,ridit,ridit_se,bins,q1,q1_se,q2,q2_se,q3,q3_se,q4,q4_se,q5,q5_se,mig_c1_none_primary_incomplete,mig_c1_none_primary_incomplete_se,mex_c1_none_primary_incomplete,diff_c1_none_primary_incomplete,diff_c1_none_primary_incomplete_se,mig_c2_primary,mig_c2_primary_se,mex_c2_primary,diff_c2_primary,diff_c2_primary_se,mig_c3_lower_secondary,mig_c3_lower_secondary_se,mex_c3_lower_secondary,diff_c3_lower_secondary,diff_c3_lower_secondary_se,mig_c4_upper_secondary,mig_c4_upper_secondary_se,mex_c4_upper_secondary,diff_c4_upper_secondary,diff_c4_upper_secondary_se,mig_c5_tertiary,mig_c5_tertiary_se,mex_c5_tertiary,diff_c5_tertiary,diff_c5_tertiary_se
1985-1989,1990,main,M,nearest,2000,12424,252231.00000,0.00000,"top (fewer at bottom, more at top)",0.54106,0.00298,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17710,0.00359,0.16652,0.00259,0.16363,0.00246,0.25347,0.00340,0.23928,0.00377,0.30056,0.00441,0.35691,-0.05635,0.00428,0.24395,0.00402,0.24752,-0.00356,0.00401,0.18883,0.00397,0.17773,0.01110,0.00394,0.14181,0.00338,0.11418,0.02762,0.00336,0.12485,0.00317,0.10366,0.02119,0.00316
1985-1989,1990,nearest_or_next_census,P,nearest_or_next,2000,27800,567744.00000,0.00000,middle (fewer in both tails),0.51686,0.00233,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19476,0.00303,0.17677,0.00208,0.15338,0.00184,0.27984,0.00273,0.19525,0.00251,0.28727,0.00344,0.31511,-0.02783,0.00337,0.24334,0.00297,0.24357,-0.00023,0.00297,0.20302,0.00307,0.19415,0.00888,0.00303,0.14224,0.00251,0.10993,0.03231,0.00249,0.12412,0.00231,0.13725,-0.01312,0.00233
1985-1989,1990,nearest_or_next_census,H,nearest_or_next,2000,15376,315513.00000,0.00000,middle (fewer in both tails),0.49751,0.00296,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20888,0.00405,0.18496,0.00288,0.14519,0.00243,0.30092,0.00376,0.16004,0.00283,0.27665,0.00438,0.28169,-0.00503,0.00429,0.24285,0.00387,0.24042,0.00244,0.00386,0.21437,0.00412,0.20727,0.00709,0.00406,0.14258,0.00331,0.10653,0.03605,0.00329,0.12354,0.00298,0.16410,-0.04055,0.00297
1985-1989,1990,nearest_or_next_census,M,nearest_or_next,2000,12424,252231.00000,0.00000,"top (fewer at bottom, more at top)",0.54106,0.00298,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17710,0.00359,0.16652,0.00259,0.16363,0.00246,0.25347,0.00340,0.23928,0.00377,0.30056,0.00441,0.35691,-0.05635,0.00428,0.24395,0.00402,0.24752,-0.00356,0.00401,0.18883,0.00397,0.17773,0.01110,0.00394,0.14181,0.00338,0.11418,0.02762,0.00336,0.12485,0.00317,0.10366,0.02119,0.00316
1985-1989,1990,ref2010,P,2010,2010,27800,567744.00000,0.00000,middle (fewer in both tails),0.50171,0.00228,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-14 15-15 16-16,0.20041,0.00303,0.18982,0.00220,0.14638,0.00189,0.29848,0.00301,0.16491,0.00240,0.28727,0.00344,0.30018,-0.01290,0.00336,0.24334,0.00297,0.23075,0.01260,0.00296,0.20302,0.00307,0.19796,0.00507,0.00303,0.14224,0.00251,0.10482,0.03742,0.00249,0.12412,0.00231,0.16630,-0.04218,0.00232
1985-1989,1990,ref2010,H,2010,2010,15376,315513.00000,0.00000,"bottom (more at bottom, fewer at top)",0.48433,0.00290,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-14 15-15 16-16,0.21400,0.00402,0.19568,0.00298,0.13824,0.00250,0.31951,0.00417,0.13258,0.00280,0.27665,0.00438,0.27162,0.00503,0.00429,0.24285,0.00387,0.22603,0.01682,0.00386,0.21437,0.00412,0.20913,0.00523,0.00406,0.14258,0.00331,0.10592,0.03666,0.00329,0.12354,0.00298,0.18729,-0.06375,0.00298
1985-1989,1990,ref2010,M,2010,2010,12424,252231.00000,0.00000,middle (fewer in both tails),0.52344,0.00293,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-14 15-15 16-16,0.18342,0.00362,0.18249,0.00285,0.15656,0.00252,0.27217,0.00369,0.20536,0.00358,0.30056,0.00441,0.33590,-0.03534,0.00428,0.24395,0.00402,0.23665,0.00731,0.00400,0.18883,0.00397,0.18398,0.00485,0.00395,0.14181,0.00338,0.10344,0.03837,0.00336,0.12485,0.00317,0.14004,-0.01519,0.00316
1985-1989,1990,ref2020,P,2020,2020,27800,567744.00000,0.00000,"bottom (more at bottom, fewer at top)",0.48142,0.00219,0-0 1-8 9-9 10-11 12-12 13-14 15-15 16-16,0.22665,0.00266,0.19387,0.00183,0.13230,0.00165,0.30108,0.00307,0.14609,0.00231,0.28727,0.00344,0.27983,0.00744,0.00336,0.24334,0.00297,0.22500,0.01834,0.00296,0.20302,0.00307,0.20419,-0.00117,0.00303,0.14224,0.00251,0.11256,0.02968,0.00249,0.12412,0.00231,0.17842,-0.05429,0.00232
1985-1989,1990,ref2020,H,2020,2020,15376,315513.00000,0.00000,"bottom (more at bottom, fewer at top)",0.46566,0.00280,0-0 1-8 9-9 10-11 12-12 13-14 15-15 16-16,0.24106,0.00353,0.19440,0.00238,0.12633,0.00227,0.32112,0.00428,0.11710,0.00273,0.27665,0.00438,0.25655,0.02010,0.00429,0.24285,0.00387,0.21923,0.02362,0.00386,0.21437,0.00412,0.21066,0.00371,0.00406,0.14258,0.00331,0.11557,0.02701,0.00329,0.12354,0.00298,0.19800,-0.07445,0.00298
1985-1989,1990,ref2020,M,2020,2020,12424,252231.00000,0.00000,middle (fewer in both tails),0.50114,0.00285,0-0 1-8 9-9 10-11 12-12 13-14 15-15 16-16,0.20864,0.00324,0.19322,0.00238,0.13977,0.00205,0.27601,0.00373,0.18237,0.00343,0.30056,0.00441,0.30896,-0.00840,0.00428,0.24395,0.00402,0.23222,0.01174,0.00400,0.18883,0.00397,0.19610,-0.00727,0.00395,0.14181,0.00338,0.10879,0.03301,0.00336,0.12485,0.00317,0.15393,-0.02908,0.00316
1985-1989,1990,arrival_age_18plus,P,nearest,2000,34615,705944.00000,0.00000,middle (fewer in both tails),0.51233,0.00214,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19725,0.00278,0.18164,0.00200,0.14401,0.00170,0.29303,0.00255,0.18408,0.00218,0.26736,0.00309,0.28733,-0.01997,0.00303,0.24192,0.00272,0.24239,-0.00046,0.00271,0.22062,0.00291,0.21309,0.00753,0.00287,0.15327,0.00239,0.11705,0.03622,0.00237,0.11683,0.00203,0.14014,-0.02331,0.00204
1985-1989,1990,arrival_age_18plus,H,nearest,2000,19672,403389.00000,0.00000,"bottom (more at bottom, fewer at top)",0.49400,0.00270,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.21188,0.00366,0.18862,0.00269,0.13589,0.00225,0.31161,0.00342,0.15200,0.00243,0.25790,0.00390,0.25568,0.00223,0.00383,0.24063,0.00348,0.23895,0.00168,0.00348,0.23345,0.00387,0.22769,0.00576,0.00381,0.15375,0.00312,0.11396,0.03979,0.00309,0.11427,0.00255,0.16372,-0.04945,0.00255
1985-1989,1990,arrival_age_18plus,M,nearest,2000,14943,302555.00000,0.00000,"top (fewer at bottom, more at top)",0.53677,0.00274,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17774,0.00333,0.17234,0.00253,0.15483,0.00223,0.26825,0.00320,0.22684,0.00333,0.27996,0.00398,0.32953,-0.04957,0.00386,0.24364,0.00371,0.24696,-0.00332,0.00370,0.20352,0.00375,0.19363,0.00989,0.00372,0.15263,0.00322,0.12117,0.03146,0.00320,0.12025,0.00285,0.10870,0.01154,0.00285
1985-1989,1990,arrival_age_25plus,P,nearest,2000,15808,320560.00000,0.00000,middle (fewer in both tails),0.52437,0.00291,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19023,0.00367,0.16987,0.00236,0.17954,0.00250,0.23868,0.00324,0.22168,0.00357,0.34612,0.00453,0.39584,-0.04972,0.00442,0.25893,0.00392,0.24469,0.01425,0.00391,0.15847,0.00355,0.14813,0.01035,0.00353,0.11515,0.00285,0.08697,0.02818,0.00283,0.12133,0.00297,0.12439,-0.00305,0.00297
1985-1989,1990,arrival_age_25plus,H,nearest,2000,8510,172704.00000,0.00000,middle (fewer in both tails),0.50091,0.00375,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20822,0.00511,0.17753,0.00327,0.17514,0.00323,0.25800,0.00453,0.18110,0.00411,0.33480,0.00585,0.35646,-0.02166,0.00574,0.25953,0.00514,0.24381,0.01573,0.00514,0.16503,0.00483,0.15864,0.00639,0.00480,0.11444,0.00380,0.08322,0.03122,0.00377,0.12619,0.00397,0.15787,-0.03168,0.00396
1985-1989,1990,arrival_age_25plus,M,nearest,2000,7298,147856.00000,0.00000,"top (fewer at bottom, more at top)",0.55177,0.00379,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.16922,0.00426,0.16091,0.00305,0.18468,0.00344,0.21610,0.00409,0.26908,0.00534,0.35933,0.00590,0.44183,-0.08250,0.00568,0.25823,0.00527,0.24571,0.01252,0.00525,0.15082,0.00466,0.13585,0.01497,0.00466,0.11597,0.00399,0.09134,0.02463,0.00397,0.11566,0.00395,0.08527,0.03039,0.00391
1985-1989,1990,arrival_age_20plus_certain,P,nearest,2000,22956,468937.00000,0.00000,middle (fewer in both tails),0.52228,0.00250,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.18975,0.00321,0.17412,0.00216,0.16215,0.00201,0.26765,0.00290,0.20632,0.00284,0.30349,0.00375,0.34221,-0.03872,0.00366,0.24836,0.00324,0.24481,0.00355,0.00324,0.18565,0.00320,0.17651,0.00915,0.00317,0.13383,0.00261,0.10204,0.03179,0.00259,0.12867,0.00257,0.13442,-0.00575,0.00258
1985-1989,1990,arrival_age_20plus_certain,H,nearest,2000,12507,256327.00000,0.00000,middle (fewer in both tails),0.50185,0.00321,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20421,0.00438,0.18261,0.00302,0.15489,0.00263,0.28948,0.00404,0.16881,0.00325,0.29244,0.00482,0.30701,-0.01458,0.00471,0.24800,0.00424,0.24218,0.00581,0.00424,0.19510,0.00435,0.18834,0.00676,0.00430,0.13428,0.00346,0.09840,0.03588,0.00343,0.13019,0.00337,0.16406,-0.03387,0.00336
1985-1989,1990,arrival_age_20plus_certain,M,nearest,2000,10449,212610.00000,0.00000,"top (fewer at bottom, more at top)",0.54691,0.00321,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17231,0.00375,0.16389,0.00269,0.17092,0.00272,0.24133,0.00362,0.25156,0.00423,0.31681,0.00482,0.38465,-0.06784,0.00466,0.24880,0.00438,0.24798,0.00082,0.00437,0.17427,0.00415,0.16224,0.01203,0.00414,0.13329,0.00358,0.10644,0.02685,0.00355,0.12683,0.00345,0.09868,0.02815,0.00342
1985-1989,1990,not_enrolled,P,nearest,2000,24703,503264.00000,0.00000,"bottom (more at bottom, fewer at top)",0.49107,0.00247,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.21861,0.00335,0.18740,0.00223,0.15870,0.00197,0.26513,0.00288,0.17017,0.00250,0.32105,0.00377,0.31871,0.00234,0.00369,0.25177,0.00317,0.24315,0.00862,0.00317,0.19781,0.00320,0.19263,0.00518,0.00316,0.13004,0.00259,0.10906,0.02098,0.00257,0.09933,0.00221,0.13645,-0.03712,0.00223
1985-1989,1990,not_enrolled,H,nearest,2000,13665,279524.00000,0.00000,"bottom (more at bottom, fewer at top)",0.47217,0.00315,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.23411,0.00448,0.19477,0.00309,0.14963,0.00258,0.28253,0.00396,0.13896,0.00282,0.30914,0.00482,0.28467,0.02446,0.00471,0.25148,0.00414,0.24030,0.01119,0.00414,0.20953,0.00432,0.20578,0.00376,0.00426,0.13091,0.00346,0.10574,0.02517,0.00343,0.09894,0.00287,0.16352,-0.06458,0.00287
1985-1989,1990,not_enrolled,M,nearest,2000,11038,223740.00000,0.00000,middle (fewer in both tails),0.51469,0.00316,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19926,0.00397,0.17819,0.00280,0.17003,0.00264,0.24338,0.00360,0.20915,0.00379,0.33594,0.00483,0.36123,-0.02530,0.00468,0.25212,0.00431,0.24671,0.00541,0.00429,0.18316,0.00418,0.17620,0.00696,0.00414,0.12896,0.00347,0.11321,0.01575,0.00344,0.09982,0.00303,0.10264,-0.00282,0.00302
1985-1989,1990,both_sex_reference,P,nearest,2000,27800,567744.00000,0.00000,middle (fewer in both tails),0.52039,0.00232,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19149,0.00298,0.17475,0.00202,0.15707,0.00183,0.27391,0.00267,0.20278,0.00253,0.28727,0.00344,0.31965,-0.03237,0.00335,0.24334,0.00297,0.24451,-0.00116,0.00297,0.20302,0.00307,0.19213,0.01089,0.00303,0.14224,0.00251,0.11091,0.03133,0.00249,0.12412,0.00231,0.13280,-0.00868,0.00231
1985-1989,1990,both_sex_reference,H,nearest,2000,15376,315513.00000,0.00000,middle (fewer in both tails),0.52160,0.00298,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.18962,0.00388,0.17176,0.00265,0.15752,0.00240,0.28211,0.00357,0.19899,0.00321,0.27665,0.00438,0.31143,-0.03478,0.00429,0.24285,0.00387,0.24574,-0.00288,0.00387,0.21437,0.00412,0.19547,0.01890,0.00406,0.14258,0.00331,0.11274,0.02984,0.00329,0.12354,0.00298,0.13462,-0.01108,0.00298
1985-1989,1990,both_sex_reference,M,nearest,2000,12424,252231.00000,0.00000,middle (fewer in both tails),0.51887,0.00297,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19382,0.00371,0.17850,0.00273,0.15651,0.00248,0.26365,0.00350,0.20752,0.00344,0.30056,0.00441,0.32992,-0.02936,0.00428,0.24395,0.00402,0.24297,0.00098,0.00401,0.18883,0.00397,0.18796,0.00087,0.00395,0.14181,0.00338,0.10862,0.03319,0.00336,0.12485,0.00317,0.13053,-0.00568,0.00316
1985-1989,1990,credential_convention,P,nearest,2000,27800,567744.00000,0.00000,middle (fewer in both tails),0.51686,0.00233,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19476,0.00303,0.17677,0.00208,0.15338,0.00184,0.27984,0.00273,0.19525,0.00251,0.28727,0.00344,0.31511,-0.02783,0.00337,0.24334,0.00297,0.24357,-0.00023,0.00297,0.20302,0.00307,0.19415,0.00888,0.00303,0.19022,0.00295,0.12383,0.06640,0.00293,0.07614,0.00195,0.12335,-0.04721,0.00196
1985-1989,1990,credential_convention,H,nearest,2000,15376,315513.00000,0.00000,middle (fewer in both tails),0.49751,0.00296,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20888,0.00405,0.18496,0.00288,0.14519,0.00243,0.30092,0.00376,0.16004,0.00283,0.27665,0.00438,0.28169,-0.00503,0.00429,0.24285,0.00387,0.24042,0.00244,0.00386,0.21437,0.00412,0.20727,0.00709,0.00406,0.19303,0.00391,0.12283,0.07020,0.00388,0.07310,0.00247,0.14779,-0.07470,0.00247
1985-1989,1990,credential_convention,M,nearest,2000,12424,252231.00000,0.00000,middle (fewer in both tails),0.54106,0.00298,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17710,0.00359,0.16652,0.00259,0.16363,0.00246,0.25347,0.00340,0.23928,0.00377,0.30056,0.00441,0.35691,-0.05635,0.00428,0.24395,0.00402,0.24752,-0.00356,0.00401,0.18883,0.00397,0.17773,0.01110,0.00394,0.18671,0.00397,0.12507,0.06164,0.00393,0.07994,0.00275,0.09278,-0.01283,0.00274
1985-1989,1990,split_neutral,P,nearest,2000,27800,567744.00000,0.00000,middle (fewer in both tails),0.51686,0.00233,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19476,0.00303,0.17677,0.00208,0.15338,0.00184,0.27984,0.00273,0.19525,0.00251,0.28311,0.00345,0.31511,-0.03200,0.00337,0.24751,0.00302,0.24357,0.00394,0.00302,0.20302,0.00307,0.19415,0.00888,0.00303,0.18278,0.00285,0.10993,0.07286,0.00282,0.08358,0.00195,0.13725,-0.05367,0.00197
1985-1989,1990,split_neutral,H,nearest,2000,15376,315513.00000,0.00000,middle (fewer in both tails),0.49751,0.00296,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20888,0.00405,0.18496,0.00288,0.14519,0.00243,0.30092,0.00376,0.16004,0.00283,0.27088,0.00440,0.28169,-0.01080,0.00431,0.24862,0.00396,0.24042,0.00821,0.00396,0.21437,0.00412,0.20727,0.00709,0.00406,0.18389,0.00375,0.10653,0.07736,0.00372,0.08224,0.00248,0.16410,-0.08186,0.00248
1985-1989,1990,split_neutral,M,nearest,2000,12424,252231.00000,0.00000,middle (fewer in both tails),0.54106,0.00298,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17710,0.00359,0.16652,0.00259,0.16363,0.00246,0.25347,0.00340,0.23928,0.00377,0.29840,0.00442,0.35691,-0.05851,0.00429,0.24612,0.00405,0.24752,-0.00140,0.00404,0.18883,0.00397,0.17773,0.01110,0.00394,0.18140,0.00386,0.11418,0.06722,0.00383,0.08525,0.00274,0.10366,-0.01841,0.00274
1985-1989,1990,split_low,P,nearest,2000,27800,567744.00000,0.00000,"bottom (more at bottom, fewer at top)",0.51686,0.00233,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19476,0.00303,0.17677,0.00208,0.15338,0.00184,0.27984,0.00273,0.19525,0.00251,0.53062,0.00393,0.31511,0.21551,0.00384,0.00000,0.00000,0.24357,-0.24357,0.00017,0.20302,0.00307,0.19415,0.00888,0.00303,0.19022,0.00295,0.10993,0.08029,0.00293,0.07614,0.00195,0.13725,-0.06111,0.00197
1985-1989,1990,split_low,H,nearest,2000,15376,315513.00000,0.00000,"bottom (more at bottom, fewer at top)",0.49751,0.00296,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20888,0.00405,0.18496,0.00288,0.14519,0.00243,0.30092,0.00376,0.16004,0.00283,0.51951,0.00511,0.28169,0.23782,0.00498,0.00000,0.00000,0.24042,-0.24042,0.00017,0.21437,0.00412,0.20727,0.00709,0.00406,0.19303,0.00391,0.10653,0.08650,0.00388,0.07310,0.00247,0.16410,-0.09100,0.00247
1985-1989,1990,split_low,M,nearest,2000,12424,252231.00000,0.00000,"bottom (more at bottom, fewer at top)",0.54106,0.00298,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17710,0.00359,0.16652,0.00259,0.16363,0.00246,0.25347,0.00340,0.23928,0.00377,0.54451,0.00509,0.35691,0.18760,0.00498,0.00000,0.00000,0.24752,-0.24752,0.00028,0.18883,0.00397,0.17773,0.01110,0.00394,0.18671,0.00397,0.11418,0.07253,0.00393,0.07994,0.00275,0.10366,-0.02372,0.00275
1985-1989,1990,split_high,P,nearest,2000,27800,567744.00000,0.00000,"top (fewer at bottom, more at top)",0.51686,0.00233,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19476,0.00303,0.17677,0.00208,0.15338,0.00184,0.27984,0.00273,0.19525,0.00251,0.25690,0.00355,0.31511,-0.05821,0.00348,0.27372,0.00334,0.24357,0.03015,0.00334,0.20302,0.00307,0.19415,0.00888,0.00303,0.12533,0.00250,0.10993,0.01540,0.00248,0.14104,0.00259,0.13725,0.00379,0.00260
1985-1989,1990,split_high,H,nearest,2000,15376,315513.00000,0.00000,middle (fewer in both tails),0.49751,0.00296,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20888,0.00405,0.18496,0.00288,0.14519,0.00243,0.30092,0.00376,0.16004,0.00283,0.24599,0.00452,0.28169,-0.03570,0.00444,0.27352,0.00436,0.24042,0.03310,0.00435,0.21437,0.00412,0.20727,0.00709,0.00406,0.12492,0.00331,0.10653,0.01839,0.00329,0.14120,0.00337,0.16410,-0.02289,0.00336
1985-1989,1990,split_high,M,nearest,2000,12424,252231.00000,0.00000,"top (fewer at bottom, more at top)",0.54106,0.00298,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17710,0.00359,0.16652,0.00259,0.16363,0.00246,0.25347,0.00340,0.23928,0.00377,0.27054,0.00457,0.35691,-0.08637,0.00445,0.27397,0.00451,0.24752,0.02645,0.00450,0.18883,0.00397,0.17773,0.01110,0.00394,0.12583,0.00338,0.11418,0.01165,0.00336,0.14082,0.00353,0.10366,0.03716,0.00351
1985-1989,1990,12th_no_diploma_as_upper_secondary,P,nearest,2000,27800,567744.00000,0.00000,middle (fewer in both tails),0.52173,0.00236,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19476,0.00303,0.17677,0.00208,0.15338,0.00184,0.25183,0.00241,0.22326,0.00256,0.28727,0.00344,0.31511,-0.02783,0.00337,0.24334,0.00297,0.24357,-0.00023,0.00297,0.13793,0.00259,0.19415,-0.05621,0.00257,0.20733,0.00298,0.10993,0.09740,0.00294,0.12412,0.00231,0.13725,-0.01312,0.00233
1985-1989,1990,12th_no_diploma_as_upper_secondary,H,nearest,2000,15376,315513.00000,0.00000,middle (fewer in both tails),0.50245,0.00301,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20888,0.00405,0.18496,0.00288,0.14519,0.00243,0.27729,0.00340,0.18367,0.00287,0.27665,0.00438,0.28169,-0.00503,0.00429,0.24285,0.00387,0.24042,0.00244,0.00386,0.14946,0.00355,0.20727,-0.05782,0.00351,0.20749,0.00391,0.10653,0.10097,0.00387,0.12354,0.00298,0.16410,-0.04055,0.00297
1985-1989,1990,12th_no_diploma_as_upper_secondary,M,nearest,2000,12424,252231.00000,0.00000,"top (fewer at bottom, more at top)",0.54585,0.00302,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17710,0.00359,0.16652,0.00259,0.16363,0.00246,0.21998,0.00290,0.27278,0.00384,0.30056,0.00441,0.35691,-0.05635,0.00428,0.24395,0.00402,0.24752,-0.00356,0.00401,0.12352,0.00330,0.17773,-0.05421,0.00330,0.20711,0.00401,0.11418,0.09293,0.00397,0.12485,0.00317,0.10366,0.02119,0.00316
1985-1989,1990,secundaria_as_diploma_0.25,P,nearest,2000,31220,567744.00000,0.00000,middle (fewer in both tails),0.51057,0.00228,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19476,0.00303,0.17677,0.00208,0.16917,0.00180,0.27929,0.00270,0.18001,0.00238,0.28727,0.00344,0.31511,-0.02783,0.00337,0.24334,0.00297,0.24357,-0.00023,0.00297,0.23435,0.00302,0.19415,0.04021,0.00297,0.11091,0.00190,0.10993,0.00098,0.00188,0.12412,0.00231,0.13725,-0.01312,0.00233
1985-1989,1990,secundaria_as_diploma_0.25,H,nearest,2000,17243,315513.00000,0.00000,middle (fewer in both tails),0.49096,0.00289,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20888,0.00405,0.18496,0.00288,0.16465,0.00238,0.29367,0.00368,0.14784,0.00272,0.27665,0.00438,0.28169,-0.00503,0.00429,0.24285,0.00387,0.24042,0.00244,0.00386,0.24560,0.00405,0.20727,0.03832,0.00397,0.11135,0.00251,0.10653,0.00482,0.00248,0.12354,0.00298,0.16410,-0.04055,0.00297
1985-1989,1990,secundaria_as_diploma_0.25,M,nearest,2000,13977,252231.00000,0.00000,"top (fewer at bottom, more at top)",0.53510,0.00292,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17710,0.00359,0.16652,0.00259,0.17482,0.00242,0.26131,0.00339,0.22026,0.00355,0.30056,0.00441,0.35691,-0.05635,0.00428,0.24395,0.00402,0.24752,-0.00356,0.00401,0.22029,0.00390,0.17773,0.04256,0.00387,0.11035,0.00256,0.11418,-0.00384,0.00254,0.12485,0.00317,0.10366,0.02119,0.00316
1985-1989,1990,secundaria_as_diploma_0.5,P,nearest,2000,31220,567744.00000,0.00000,middle (fewer in both tails),0.50428,0.00224,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19476,0.00303,0.17677,0.00208,0.18495,0.00184,0.27874,0.00268,0.16478,0.00229,0.28727,0.00344,0.31511,-0.02783,0.00337,0.24334,0.00297,0.24357,-0.00023,0.00297,0.26569,0.00310,0.19415,0.07154,0.00304,0.07957,0.00130,0.10993,-0.03035,0.00129,0.12412,0.00231,0.13725,-0.01312,0.00233
1985-1989,1990,secundaria_as_diploma_0.5,H,nearest,2000,17243,315513.00000,0.00000,middle (fewer in both tails),0.48441,0.00283,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20888,0.00405,0.18496,0.00288,0.18411,0.00246,0.28641,0.00363,0.13563,0.00264,0.27665,0.00438,0.28169,-0.00503,0.00429,0.24285,0.00387,0.24042,0.00244,0.00386,0.27683,0.00414,0.20727,0.06955,0.00405,0.08012,0.00172,0.10653,-0.02641,0.00170,0.12354,0.00298,0.16410,-0.04055,0.00297
1985-1989,1990,secundaria_as_diploma_0.5,M,nearest,2000,13977,252231.00000,0.00000,"top (fewer at bottom, more at top)",0.52913,0.00288,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17710,0.00359,0.16652,0.00259,0.18600,0.00243,0.26915,0.00343,0.20123,0.00341,0.30056,0.00441,0.35691,-0.05635,0.00428,0.24395,0.00402,0.24752,-0.00356,0.00401,0.25175,0.00402,0.17773,0.07402,0.00397,0.07889,0.00175,0.11418,-0.03529,0.00174,0.12485,0.00317,0.10366,0.02119,0.00316
1990-1994,2000,main,P,nearest,2000,36636,769832.00000,0.00000,middle (fewer in both tails),0.53033,0.00174,0-4 5-6 7-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.16700,0.00199,0.19410,0.00193,0.15186,0.00177,0.28926,0.00237,0.19777,0.00222,0.21712,0.00242,0.25796,-0.04084,0.00235,0.26835,0.00259,0.24292,0.02542,0.00259,0.22657,0.00263,0.23541,-0.00883,0.00261,0.18253,0.00240,0.12534,0.05719,0.00239,0.10543,0.00193,0.13837,-0.03294,0.00193
1990-1994,2000,main,H,nearest,2000,17192,361778.00000,0.00000,middle (fewer in both tails),0.52346,0.00241,0-4 5-6 7-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.17355,0.00289,0.20111,0.00288,0.13005,0.00239,0.31903,0.00357,0.17626,0.00292,0.19690,0.00327,0.22787,-0.03097,0.00321,0.26084,0.00365,0.23841,0.02243,0.00365,0.24007,0.00381,0.25214,-0.01207,0.00380,0.19256,0.00348,0.11935,0.07321,0.00346,0.10962,0.00273,0.16222,-0.05260,0.00273
